Date,London Avg Temp
01/12/2019,7
02/12/2019,7
03/12/2019,9
04/12/2019,9
05/12/2019,10
06/12/2019,13
07/12/2019,11
08/12/2019,11
09/12/2019,10
10/12/2019,11
11/12/2019,8
12/12/2019,9
13/12/2019,8
14/12/2019,9
15/12/2019,10
16/12/2019,8
17/12/2019,8
18/12/2019,11
19/12/2019,13
20/12/2019,10
21/12/2019,10
22/12/2019,9
23/12/2019,11
24/12/2019,12
25/12/2019,8
26/12/2019,10
27/12/2019,9
28/12/2019,9
29/12/2019,9
30/12/2019,10
31/12/2019,9
01/01/2020,7
02/01/2020,10
03/01/2020,11
04/01/2020,8
05/01/2020,8
06/01/2020,8
07/01/2020,13
08/01/2020,12
09/01/2020,13
10/01/2020,7
11/01/2020,10
12/01/2020,11
13/01/2020,11
14/01/2020,13
15/01/2020,12
16/01/2020,12
17/01/2020,10
18/01/2020,7
19/01/2020,7
20/01/2020,7
21/01/2020,7
22/01/2020,8
23/01/2020,8
24/01/2020,7
25/01/2020,7
26/01/2020,10
27/01/2020,9
28/01/2020,7
29/01/2020,9
30/01/2020,12
31/01/2020,12
01/02/2020,11
02/02/2020,13
03/02/2020,11
04/02/2020,9
05/02/2020,8
06/02/2020,10
07/02/2020,10
08/02/2020,11
09/02/2020,12
10/02/2020,10
11/02/2020,7
12/02/2020,8
13/02/2020,10
14/02/2020,12
15/02/2020,13
16/02/2020,13
17/02/2020,10
18/02/2020,10
19/02/2020,9
20/02/2020,10
21/02/2020,11
22/02/2020,13
23/02/2020,14
24/02/2020,12
25/02/2020,8
26/02/2020,8
27/02/2020,8
28/02/2020,11
29/02/2020,11
01/03/2020,10
02/03/2020,10
03/03/2020,9
04/03/2020,8
05/03/2020,6
06/03/2020,10
07/03/2020,12
08/03/2020,13
09/03/2020,11
10/03/2020,15
11/03/2020,14
12/03/2020,10
13/03/2020,12
14/03/2020,12
15/03/2020,12
16/03/2020,12
17/03/2020,13
18/03/2020,15
19/03/2020,8
20/03/2020,10
21/03/2020,10
22/03/2020,10
23/03/2020,11
24/03/2020,15
25/03/2020,13
26/03/2020,13
27/03/2020,13
28/03/2020,11
29/03/2020,7
30/03/2020,10
31/03/2020,10
01/04/2020,9
02/04/2020,13
03/04/2020,13
04/04/2020,16
05/04/2020,21
06/04/2020,17
07/04/2020,19
08/04/2020,20
09/04/2020,21
10/04/2020,22
11/04/2020,25
12/04/2020,24
13/04/2020,13
14/04/2020,13
15/04/2020,18
16/04/2020,19
17/04/2020,14
18/04/2020,14
19/04/2020,18
20/04/2020,18
21/04/2020,17
22/04/2020,20
23/04/2020,23
24/04/2020,21
25/04/2020,15
26/04/2020,20
27/04/2020,18
28/04/2020,11
29/04/2020,13
30/04/2020,13
01/05/2020,14
02/05/2020,17
03/05/2020,15
04/05/2020,17
05/05/2020,14
06/05/2020,17
07/05/2020,22
08/05/2020,24
09/05/2020,24
10/05/2020,18
11/05/2020,12
12/05/2020,15
13/05/2020,12
14/05/2020,13
15/05/2020,18
16/05/2020,17
17/05/2020,20
18/05/2020,23
19/05/2020,25
20/05/2020,26
21/05/2020,27
22/05/2020,21
23/05/2020,18
24/05/2020,22
25/05/2020,25
26/05/2020,26
27/05/2020,23
28/05/2020,21
29/05/2020,22
30/05/2020,23
31/05/2020,23
01/06/2020,25
02/06/2020,24
03/06/2020,19
04/06/2020,16
05/06/2020,16
06/06/2020,13
07/06/2020,18
08/06/2020,15
09/06/2020,19
10/06/2020,15
11/06/2020,19
12/06/2020,20
13/06/2020,23
14/06/2020,22
15/06/2020,23
16/06/2020,23
17/06/2020,21
18/06/2020,19
19/06/2020,19
20/06/2020,21
21/06/2020,22
22/06/2020,22
23/06/2020,27
24/06/2020,30
25/06/2020,31
26/06/2020,29
27/06/2020,21
28/06/2020,20
29/06/2020,19
30/06/2020,18
01/07/2020,20
02/07/2020,20
03/07/2020,21
04/07/2020,20
05/07/2020,21
06/07/2020,19
07/07/2020,20
08/07/2020,19
09/07/2020,19
10/07/2020,18
11/07/2020,20
12/07/2020,24
13/07/2020,25
14/07/2020,21
15/07/2020,18
16/07/2020,22
17/07/2020,27
18/07/2020,25
19/07/2020,20
20/07/2020,22
21/07/2020,22
22/07/2020,25
23/07/2020,25
24/07/2020,23
25/07/2020,21
26/07/2020,22
27/07/2020,20
28/07/2020,20
29/07/2020,23
30/07/2020,28
31/07/2020,36
01/08/2020,25
02/08/2020,23
03/08/2020,22
04/08/2020,23
05/08/2020,25
06/08/2020,28
07/08/2020,35
08/08/2020,32
09/08/2020,31
10/08/2020,33
11/08/2020,34
12/08/2020,33
13/08/2020,28
14/08/2020,20
15/08/2020,20
16/08/2020,24
17/08/2020,22
18/08/2020,23
19/08/2020,20
20/08/2020,25
21/08/2020,22
22/08/2020,22
23/08/2020,21
24/08/2020,22
25/08/2020,21
26/08/2020,21
27/08/2020,18
28/08/2020,18
29/08/2020,15
30/08/2020,16
31/08/2020,17
01/09/2020,20
