,SETTLEMENT_DATE,dailyND,Week_Day,London_Avg_Temp,dailyND2019,dailyND2019Adj
0,01-Jan-2020,28966.416666666668,1.0,7.0,28080.770833333332,35041.375
1,02-Jan-2020,30905.041666666668,1.0,10.0,35041.375,37291.875
2,03-Jan-2020,31908.104166666668,0.0,11.0,37291.875,37371.645833333336
3,04-Jan-2020,29747.3125,0.0,8.0,37371.645833333336,34352.1875
4,05-Jan-2020,29390.104166666668,1.0,8.0,34352.1875,32740.75
5,06-Jan-2020,32748.270833333332,1.0,8.0,32740.75,34010.875
6,07-Jan-2020,32668.020833333332,1.0,13.0,34010.875,34424.0625
7,08-Jan-2020,33613.625,1.0,12.0,34424.0625,37215.5625
8,09-Jan-2020,34053.020833333336,1.0,13.0,37215.5625,38259.604166666664
9,10-Jan-2020,33687.458333333336,0.0,7.0,38259.604166666664,36648.416666666664
10,11-Jan-2020,28653.729166666668,0.0,10.0,36648.416666666664,30473.3125
11,12-Jan-2020,29292.8125,1.0,11.0,30473.3125,28548.104166666668
12,13-Jan-2020,32979.729166666664,1.0,11.0,28548.104166666668,35315.791666666664
13,14-Jan-2020,33286.5,1.0,13.0,35315.791666666664,34676.166666666664
14,15-Jan-2020,32874.479166666664,1.0,12.0,34676.166666666664,35012.791666666664
15,16-Jan-2020,33116.604166666664,1.0,12.0,35012.791666666664,36254.1875
16,17-Jan-2020,33932.833333333336,0.0,10.0,36254.1875,37954.354166666664
17,18-Jan-2020,31568.75,0.0,7.0,37954.354166666664,35130.333333333336
18,19-Jan-2020,32275.291666666668,1.0,7.0,35130.333333333336,34366.395833333336
19,20-Jan-2020,35994.875,1.0,7.0,34366.395833333336,37792.770833333336
20,21-Jan-2020,36604.041666666664,1.0,7.0,37792.770833333336,38309.5
21,22-Jan-2020,36546.791666666664,1.0,8.0,38309.5,39046.75
22,23-Jan-2020,36318.729166666664,1.0,8.0,39046.75,39426.5
23,24-Jan-2020,35793.479166666664,0.0,7.0,39426.5,35575.3125
24,25-Jan-2020,31982.4375,0.0,7.0,35575.3125,30960.020833333332
25,26-Jan-2020,30293.479166666668,1.0,10.0,30960.020833333332,29886.520833333332
26,27-Jan-2020,34377.270833333336,1.0,9.0,29886.520833333332,36425.0
27,28-Jan-2020,34533.8125,1.0,7.0,36425.0,38925.583333333336
